"PEGI","PlatformMap_PEGI","USK","PlatformMap_USK","ESRB","PlatformMap_ESRB","OGDB","PlatformMap_OGDB","MOBYGAMES","PlatformMap_MOBYGAMES","MEDIAARTS","PlatformMap_MEDIAARTS","GAMEFAQS","PlatformMap_GAMEFAQS"
,,,,"Samsung TV ","TV","Microsoft Xbox","Microsoft Xbox","Game Boy","Nintendo Game Boy",,,,
,,,,"Samsung TV (model Pavv Bordo) ","TV","Microsoft Xbox 360","Microsoft Xbox 360","Game Boy Advance","Nintendo Game Boy Advance",,,,
,,,,"Samsung TV (model: Pavv Bordo) ","TV","Microsoft Xbox 360 - Download","Microsoft Xbox 360","Game Boy Color","Nintendo Game Boy",,,,
,,,,"Samsung TV 750 ","TV","Microsoft Xbox One","Microsoft Xbox One","Game Gear","Sega Game Gear",,,,
,,,,"Sega 32X ","Sega Mega Drive","Microsoft Xbox One - Download","Microsoft Xbox One","Game Wave","Other",,,,
,,,,"Sega CD ","Sega Mega Drive","Mobile - J2ME","Mobile","Game.Com","Other",,,,
,,,,"Sega Dreamcast ","Sega Dreamcast","NEC PC Engine Arcade CD-ROM²","NEC PC Engine","GameCube","Nintendo GameCube",,,,
,,,,"Sega Genesis ","Sega Mega Drive","NEC PC Engine Super CD-ROM²","NEC PC Engine","GameStick","Other",,,,
,,,,"Sega Pico ","Sega Pico ","NEC PC Engine Super Grafx","NEC PC Engine","Genesis","Sega Mega Drive",,,,
,,,,"Sega Pocket Arcade ","Sega Pocket Arcade ","NEC PC Engine/TurboGrafx - CD-ROM²","NEC PC Engine","Gizmondo","Gizmondo",,,,
,,,,"Sega Saturn ","Sega Saturn ","NEC PC Engine/TurboGrafx16","NEC PC Engine","HD DVD Player","TV",,,,
,,,,"Sifteo Cubes ","Sifteo Cubes ","NEC PC-88 - Diskette","NEC PC Engine","HyperScan","Other",,,,
,,,,"Steam OS ","Steam OS ","NEC PC-88 - Kassette","NEC PC Engine","Intellivision","Mattel Intellivision",,,,
,,,,"Super Nintendo ","Super Nintendo Entertainment System","NEC PC-98 - 3.5""-Diskette","NEC PC Engine","J2ME","Other",,,,
,,,,"VG Pocket ","Pelican VG Pocket","NEC PC-98 - 5.2""-Diskette","NEC PC Engine","Jaguar","Atari Jaguar",,,,
,,,,"Virtual Boy ","Virtual Boy ","NEC PC-98 3,5""-Diskette + CD-ROM","NEC PC Engine","Jupiter Ace","Other",,,,
,,,,"Web Browser ","Online","NEC PC-FX","NEC PC Engine","Kindle Classic","Mobile",,,,
,,,,"Web TV ","Online","Nintendo 3DS","Nintendo 3DS ","LaserActive","Other",,,,
,,,,"Wii ","Nintendo Wii ","Nintendo 3DS - Download","Nintendo 3DS ","Leapster","Other",,,,
,,,,"Wii U ","Nintendo Wii U ","Nintendo 64","Nintendo 64","Linux","PC",,,,
,,,,"Windows CE ","PC","Nintendo 64 Disc Drive","Nintendo 64","Lynx","Atari Lynx",,,,
,,,,"Windows PC ","PC","Nintendo Classic Mini: Famicom/NES","Nintendo Classic Mini: Nintendo Entertainment System","MSX","MSX",,,,
,,,,"Windows Phone ","Mobile","Nintendo DS","Nintendo DS","Macintosh","MAC OS",,,,
,,,,"Xbox ","Microsoft Xbox","Nintendo DSi","Nintendo DS","Maemo","Other",,,,
,,,,"Xbox 360 ","Microsoft Xbox 360","Nintendo DSi - Download","Nintendo DS","Mainframe","PC",,,,
,,,,"Xbox One ","Microsoft Xbox One","Nintendo Famicom Disk System","Nintendo Famicom","Mattel Aquarius","Attel Aquarius",,,,
,,,,"Xbox One X ","Microsoft Xbox One","Nintendo Famicom Disk System - Disk Writer","Nintendo Famicom","MeeGo","Other",,,,
,,,,"Zodiac ","Tapwave Zodiac","Nintendo Famicom/NES","Nintendo Entertainment System","Memotech MTX","Other",,,,
,,,,,,"Nintendo Game&Watch","Nintendo Game & Watch","Microbee","Other",,,,
,,,,,,"Nintendo GameBoy","Nintendo Game Boy","Microvision","Other",,,,
,,,,,,"Nintendo GameBoy - Nintendo Power","Nintendo Game Boy","Mophun","Other",,,,
,,,,,,"Nintendo GameBoy Advance","Nintendo Game Boy Advance","N-Gage","Mobile",,,,
,,,,,,"Nintendo GameBoy Advance e-Reader","Nintendo Game Boy Advance","N-Gage (service)","Moblie",,,,
,,,,,,"Nintendo GameBoy Color","Nintendo Game Boy Color","NES","Nintendo Entertainment System",,,,
,,,,,,"Nintendo GameBoy Color - Nintendo Power","Nintendo Game Boy Color","Nascom","Other",,,,
,,,,,,"Nintendo GameBoy/GameBoy Color","Nintendo Game Boy","Neo Geo","SNK Neo Geo",,,,
,,,,,,"Nintendo GameCube","Nintendo GameCube","Neo Geo CD","SNK Neo Geo CD",,,,
,,,,,,"Nintendo New 3DS","New Nintendo 3DS ","Neo Geo Pocket","SNK Neo Geo Pocket",,,,
,,,,,,"Nintendo New 3DS Download","New Nintendo 3DS ","Neo Geo Pocket Color","SNK Neo Geo Pocket",,,,
,,,,,,"Nintendo Pokémon mini","Pokemon Mini ","New Nintendo 3DS","Nintendo 3DS",,,,
,,,,,,"Nintendo Super Famicom - Bandai Sufami Turbo","Nintendo Super Famicom","NewBrain","Other",,,,
,,,,,,"Nintendo Super Famicom - Nintendo Power","Nintendo Super Famicom","Newton","Other",,,,
,,,,,,"Nintendo Super Famicom - Satellaview","Nintendo Super Famicom","Nintendo 3DS","Nintendo 3DS ",,,,
,,,,,,"Nintendo Super Famicom/SNES","Super Nintendo Entertainment System","Nintendo 64","Nintendo 64",,,,
,,,,,,"Nintendo Switch","Nintendo Switch","Nintendo DS","Nintendo DS",,,,
,,,,,,"Nintendo Switch - Download","Nintendo Switch","Nintendo DSi","Nintendo DS",,,,
,,,,,,"Nintendo VirtualBoy","Nintendo Virtual Boy","Nintendo Switch","Nintendo Switch",,,,
,,,,,,"Nintendo Wii","Nintendo Wii","Nuon","Other",,,,
,,,,,,"Nintendo Wii - Download","Nintendo Wii","OS/2","PC",,,,
,,,,,,"Nintendo Wii U","Nintendo Wii U","Odyssey","Other",,,,
,,,,,,"Nintendo Wii U - Download","Nintendo Wii U","Odyssey 2","Other",,,,
,,,,,,"Nokia N-Gage - Cartridge","Mobile","Ohio Scientific","Other",,,,
,,,,,,"Nuon Interactive DVD","Other","Oric","Other",,,,
,,,,,,"PC - 3.5'' + 5.25'' Diskette","PC","Ouya","Other",,,,
,,,,,,"PC - 3.5'' Diskette","PC","PC Booter","PC",,,,
,,,,,,"PC - 5.25'' Diskette","PC","PC-6001","NEC PC Engine",,,,
